feature,importance_mean,importance_std
past_default,0.43854807180544864,0.027853555175875053
plot_size_acres,0.276241992013483,0.010785010214899754
ndvi_max,0.22498555327562514,0.012176677470299617
soil_N,0.16766646283302916,0.006435399071013375
irrigation_buffer,0.1295194556964545,0.007406366501628256
pmkisan_beneficiary,0.03738722052981854,0.002370298495922077
soil_K,0.027730375645493643,0.0010761346886660036
crop_income_multiplier,0.018125913224146604,0.0015044159327341404
irrigation,0.014914801615759565,0.002349824698332269
past_repayment_rate,0.012890520073988021,0.0019728813686293602
fpo_membership,0.008863634314678492,0.0007906171225272896
crop_type_sugarcane,0.005021564793546085,0.0006516497659276222
soil_pH_dev,0.0038273545797519516,0.0008700082777546131
market_advantage,0.003508404489013861,0.0010249069035668465
yield_variability_3y,0.0023954866736992987,0.0005221634380614536
fertilizer_subsidy,0.001834349646108535,0.000281517105922316
loan_tenure_months,0.00145845574746436,0.0004981378447044136
market_access_score,0.0010515969650442326,0.00048726103531811135
crop_insurance,0.0009296238109516297,0.00014453239259071526
rain_forecast_14d,0.0007710080049200596,0.00024286155141231143
log_distance_to_market,0.0007424797059935595,0.0003671772676093318
soil_pH,0.0007077614969841717,0.00043703532979515923
distance_to_market_km,0.0006483479868531483,0.0003820678714275743
digital_enablement,0.0005621134366183944,0.0003115932083373129
crop_type_pulses,0.00045321795171003875,7.834366132922122e-05
ndvi_trend_30d,0.00037780148633659305,0.0002707558951803633
growth_outlook,0.00036238077211604437,0.00027772951696347783
log_price_volatility,0.00036005619055913264,0.0004263098107964513
crop_type_paddy,0.00017356807044536238,8.3785922047606e-05
crop_type_maize,0.00011589772306904722,6.526239596964944e-05
rain_effect,2.8077221580569135e-05,0.00021714503675219606
crop_type_wheat,6.952633712009604e-06,4.0771498953803194e-05
rain_7d,-4.0236198803844656e-05,0.00018681627130757148
price_volatility,-7.00146064029239e-05,0.0003601590881424478
dry_spell,-9.619668774673018e-05,0.00016446834312364047
mobile_penetration_score,-0.00015864405826111484,0.0004133419784063126
water_stress_index,-0.0002592868805458504,0.00026215473387071394
avg_crop_price_last_3m,-0.000622628043011364,0.00031830809137376495
